389    |  a  | 7.66
94     |  b  | 1.85
7      |  c  | 0.14
4      |  d  | 0.08
38     |  e  | 0.75
303    |  f  | 5.97
167    |  g  | 3.29
125    |  h  | 2.46
445    |  i  | 8.76
112    |  j  | 2.21
415    |  k  | 8.17
10     |  l  | 0.20
50     |  m  | 0.98
152    |  n  | 2.99
130    |  o  | 2.56
85     |  p  | 1.67
233    |  q  | 4.59
79     |  r  | 1.56
233    |  s  | 4.59
82     |  t  | 1.61
5      |  u  | 0.10
179    |  v  | 3.53
360    |  w  | 7.09
324    |  x  | 6.38
373    |  y  | 7.35
684    |  z  | 13.47
