535    |  a  | 7.72
108    |  b  | 1.56
176    |  c  | 2.54
244    |  d  | 3.52
866    |  e  | 12.50
218    |  f  | 3.15
169    |  g  | 2.44
361    |  h  | 5.21
530    |  i  | 7.65
20     |  j  | 0.29
51     |  k  | 0.74
330    |  l  | 4.76
185    |  m  | 2.67
464    |  n  | 6.70
581    |  o  | 8.39
96     |  p  | 1.39
6      |  q  | 0.09
408    |  r  | 5.89
404    |  s  | 5.83
652    |  t  | 9.41
173    |  u  | 2.50
77     |  v  | 1.11
150    |  w  | 2.17
5      |  x  | 0.07
112    |  y  | 1.62
5      |  z  | 0.07
